a, Determiner, একটি, আ
hand, Noun | Action Verb, হাত বা হস্তান্তরের করা, হ্যান্ড
hands, Noun (Plural), হাতগুলো, হ্যান্ডস
happen, Action Verb, ঘটা, হ্যাপেন
happened, Action Verb (Past), ঘটেছিল, হ্যাপেনড
happening, Action Verb (Present Participle) | Noun, ঘটছে এমন বা ঘটনা, হ্যাপেনিং
happens, Action Verb (Third Person), ঘটে, হ্যাপেনস
happily, Adverb, খুশিতে, হ্যাপিলি
happy, Adjective, খুশি, হ্যাপি
hard, Adjective | Adverb, শক্ত বা কঠিন, হার্ড
hardly, Adverb, কদাচিৎ বা প্রায় না, হার্ডলি
has, Action Verb (Third Person) | Helping Verb, আছে, হ্যাজ
hasn't, Helping Verb (Contraction), নেই, হ্যাজন্ট
hat, Noun, টুপি, হ্যাট
hate, Action Verb | Noun, ঘৃণা করা, হেইট
have, Action Verb | Helping Verb, আছে, হ্যাভ
haven't, Helping Verb (Contraction), নেই, হ্যাভন্ট
having, Action Verb (Present Participle), আছে এমন বা গ্রহণ করছে, হ্যাভিং
he, Pronoun, সে (পুরুষ), হি
he's, Pronoun (Contraction), সে হয়, হিজ
head, Noun | Action Verb, মাথা বা নেতৃত্ব দেওয়া, হেড
health, Noun, স্বাস্থ্য, হেলথ
healthy, Adjective, স্বাস্থ্যকর, হেলদি
hear, Action Verb, শোনা, হিয়ার
heard, Action Verb (Past), শুনেছিল, হার্ড
hearing, Action Verb (Present Participle) | Noun, শুনছে এমন বা শুনানি, হিয়ারিং
hears, Action Verb (Third Person), শোনে, হিয়ারস
heart, Noun, হৃদয়, হার্ট
heavy, Adjective, ভারী, হেভি
held, Action Verb (Past), ধরেছিল, হেল্ড
hello, Interjection | Noun, হ্যালো, হ্যালো
help, Action Verb | Noun, সাহায্য করা, হেল্প
helped, Action Verb (Past), সাহায্য করেছিল, হেল্পড
helpful, Adjective, সাহায্যকারী, হেল্পফুল
helping, Action Verb (Present Participle) | Noun, সাহায্য করছে এমন, হেল্পিং
her, Pronoun | Determiner, তাকে বা তার (নারী), হার
here, Adverb, এখানে, হেয়ার
hers, Pronoun, তার (নারী), হার্স
herself, Pronoun, সে নিজে (নারী), হারসেলফ
hey, Interjection, হেই, হেই
hi, Interjection, হাই, হাই
hid, Action Verb (Past), লুকিয়েছিল, হিড
hidden, Action Verb (Past Participle) | Adjective, লুকানো, হিডেন
hide, Action Verb | Noun, লুকানো, হাইড
hiding, Action Verb (Present Participle), লুকাচ্ছে এমন, হাইডিং
high, Adjective | Adverb | Noun, উঁচু, হাই
hill, Noun, পাহাড়, হিল
him, Pronoun, তাকে (পুরুষ), হিম
himself, Pronoun, সে নিজে (পুরুষ), হিমসেলফ
his, Determiner | Pronoun, তার (পুরুষ), হিজ
history, Noun, ইতিহাস, হিস্ট্রি
hit, Action Verb | Noun, আঘাত করা, হিট
hobbies, Noun (Plural), শখগুলো, হবিজ
hobby, Noun, শখ, হবি
hold, Action Verb | Noun, ধরা, হোল্ড
holding, Action Verb (Present Participle), ধরছে এমন, হোল্ডিং
holds, Action Verb (Third Person), ধরে, হোল্ডস
holiday, Noun, ছুটির দিন, হলিডে
home, Noun | Adverb | Adjective, বাড়ি, হোম
homework, Noun, বাড়ির কাজ, হোমওয়ার্ক
honest, Adjective, সৎ, অনেস্ট
honestly, Adverb, সততার সাথে, অনেস্টলি
honor, Noun | Action Verb, সম্মান, অনার
hope, Action Verb | Noun, আশা করা, হোপ
horse, Noun, ঘোড়া, হর্স
hospital, Noun, হাসপাতাল, হসপিটাল
hot, Adjective, গরম, হট
hotel, Noun, হোটেল, হোটেল
hour, Noun, ঘণ্টা, আওয়ার
hours, Noun (Plural), ঘণ্টাগুলো, আওয়ারস
house, Noun, বাড়ি, হাউস
how, Adverb | Conjunction, কিভাবে, হাউ
however, Adverb | Conjunction, যা-ই হোক, হাউএভার
huge, Adjective, বিশাল, হিউজ
hum, Action Verb | Noun, গুনগুন করা, হাম
hundred, Number, একশ, হান্ড্রেড
hungry, Adjective, ক্ষুধার্ত, হাংরি
hurry, Action Verb | Noun, তাড়াতাড়ি করা, হারি
hurt, Action Verb | Noun | Adjective, আঘাত করা বা আহত, হার্ট
husband, Noun, স্বামী, হাজব্যান্ড
i, Pronoun, আমি, আই
ice, Noun, বরফ, আইস
idea, Noun, ধারণা, আইডিয়া
if, Conjunction, যদি, ইফ
ill, Adjective, অসুস্থ, ইল
immediately, Adverb, অবিলম্বে বা তক্ষুনি, ইমিডিয়েটলি
important, Adjective, গুরুত্বপূর্ণ, ইমপর্ট্যান্ট
impossible, Adjective, অসম্ভব, ইম্পসিবল
improve, Action Verb, উন্নতি করা, ইম্প্রুভ
in, Preposition | Adverb, ভেতরে বা মধ্যে, ইন
include, Action Verb, অন্তর্ভুক্ত করা, ইনক্লুড
including, Preposition | Action Verb (Present Participle), অন্তর্ভুক্ত করে এমন, ইনক্লুডিং
increase, Action Verb | Noun, বৃদ্ধি করা বা বৃদ্ধি, ইনক্রিস
indeed, Adverb, প্রকৃতপক্ষে, ইন্ডিড
independent, Adjective, স্বাধীন, ইন্ডিপেন্ডেন্ট
information, Noun, তথ্য, ইনফরমেশন
inside, Preposition | Adverb | Noun, ভেতরে, ইনসাইড
instead, Adverb, পরিবর্তে, ইনস্টেড
intelligent, Adjective, বুদ্ধিমান, ইনটেলিজেন্ট
interest, Noun | Action Verb, আগ্রহ, ইন্টারেস্ট
interesting, Adjective, মজাদার বা আকর্ষণীয়, ইন্টারেস্টিং
international, Adjective, আন্তর্জাতিক, ইন্টারন্যাশনাল
into, Preposition, ভেতরে, ইনটু
introduce, Action Verb, পরিচয় করিয়ে দেওয়া, ইনট্রোডিউস
is, Be Verb | Helping Verb, হয়, ইজ
isn't, Be Verb (Contraction), নয়, ইজন্ট
it, Pronoun, ইহা বা এটা, ইট
it's, Pronoun (Contraction), এটা হয়, ইটস
item, Noun, বস্তু বা পদ, আইটেম
its, Determiner, এটার, ইটস
itself, Pronoun, এটা নিজে, ইটসেলফ
jacket, Noun, জ্যাকেট, জ্যাকেট
jam, Noun | Action Verb, জ্যাম বা জট, জ্যাম
january, Noun, জানুয়ারি, জানুয়ারি
job, Noun, কাজ বা চাকরি, জব
join, Action Verb, যোগদান করা, জয়েন
joke, Noun | Action Verb, কৌতুক, জোক
journey, Noun, ভ্রমণ, জার্নি
joy, Noun, আনন্দ, জয়
july, Noun, জুলাই, জুলাই
jump, Action Verb | Noun, লাফ দেওয়া, জাম্প
june, Noun, জুন, জুন
just, Adverb | Adjective, শুধু বা ন্যায়সঙ্গত, জাস্ট
keep, Action Verb, রাখা, কিপ
keeping, Action Verb (Present Participle), রাখছে এমন, কিপিং
keeps, Action Verb (Third Person), রাখে, কিপস
kept, Action Verb (Past), রেখেছিল, কেপ্ট
key, Noun | Adjective, চাবি বা মূল, কি
kick, Action Verb | Noun, লাথি দেওয়া, কিক
kid, Noun, শিশু বা বাচ্চা, কিড
kill, Action Verb, হত্যা করা, কিল
kind, Adjective | Noun, দয়ালু বা প্রকার, কাইন্ড
king, Noun, রাজা, কিং
kitchen, Noun, রান্নাঘর, কিচেন
knee, Noun, হাঁটু, নি
knew, Action Verb (Past), জানত, নিউ
knife, Noun, ছুরি, নাইফ
knives, Noun (Plural), ছুরিগুলো, নাইভস
know, Action Verb, জানা, নো
knowing, Action Verb (Present Participle), জানছে এমন, নোয়িং
known, Action Verb (Past Participle) | Adjective, পরিচিত, নোন
knows, Action Verb (Third Person), জানে, নোজ
ladder, Noun, মই, ল্যাডার
lady, Noun, মহিলা, লেডি
lake, Noun, হ্রদ, লেইক
lamp, Noun, বাতি, ল্যাম্প
land, Noun | Action Verb, ভূমি বা অবতরণ করা, ল্যান্ড
language, Noun, ভাষা, ল্যাঙ্গুয়েজ
large, Adjective, বড় বা বিশাল, লার্জ
last, Adjective | Adverb | Action Verb, শেষ বা স্থায়িত্ব হওয়া, লাস্ট
late, Adjective | Adverb, দেরি বা মৃত, লেইট
later, Adverb | Adjective, পরে, লেটার
laugh, Action Verb | Noun, হাসা, লাফ
laughing, Action Verb (Present Participle), হাসছে এমন, লাফিং
law, Noun, আইন, ল
lazy, Adjective, অলস, লেজি
lead, Action Verb | Noun, নেতৃত্ব দেওয়া বা সিসা, লিড
learn, Action Verb, শেখা, লার্ন
learning, Action Verb (Present Participle) | Noun, শিখছে এমন বা শিক্ষা, লার্নিং
least, Adjective | Adverb, সবচেয়ে কম, লিস্ট
leave, Action Verb | Noun, ত্যাগ করা বা ছুটি, লিভ
leaving, Action Verb (Present Participle), ত্যাগ করছে এমন, লিভিং
left, Action Verb (Past) | Adjective, ত্যাগ করেছিল বা বাম, লেফট
leg, Noun, পা, লেগ
legs, Noun (Plural), পাগুলো, লেগস
lemon, Noun, লেবু, লেমন
less, Adjective | Adverb, কম, লেস
lesson, Noun, পাঠ, লেসন
let, Action Verb, অনুমতি দেওয়া বা করতে দেওয়া, লেট
letter, Noun, চিঠি বা অক্ষর, লেটার
letters, Noun (Plural), চিঠিগুলো বা অক্ষরগুলো, লেটারস
level, Noun | Adjective, স্তর বা সমান, লেভেল
liar, Noun, মিথ্যাবাদী, লায়ার
library, Noun, গ্রন্থাগার বা লাইব্রেরি, লাইব্রেরি
lie, Action Verb | Noun, মিথ্যা বলা বা শুয়ে থাকা, লাই
life, Noun, জীবন, লাইফ
light, Noun | Adjective | Action Verb, আলো বা হালকা, লাইট
like, Action Verb | Preposition, পছন্দ করা বা মতো, লাইক
liked, Action Verb (Past), পছন্দ করেছিল, লাইকড
likes, Action Verb (Third Person), পছন্দ করে, লাইকস
liking, Action Verb (Present Participle) | Noun, পছন্দ করছে এমন, লাইকিং
limit, Noun | Action Verb, সীমা, লিমিট
line, Noun | Action Verb, রেখা বা লাইন, লাইন
lion, Noun, সিংহ, লায়ন
lip, Noun, ঠোঁট, লিপ
lips, Noun (Plural), ঠোঁটগুলো, লিপস
list, Noun | Action Verb, তালিকা, লিস্ট
listen, Action Verb, শোনা, লিসেন
listening, Action Verb (Present Participle), শুনছে এমন, লিসেনিং
little, Adjective | Adverb, ছোট বা সামান্য, লিটল
live, Action Verb | Adjective, বাস করা বা সরাসরি, লিভ
lives, Action Verb (Third Person) | Noun (Plural), বাস করে বা জীবনগুলো, লিভস
living, Action Verb (Present Participle) | Noun, বাস করছে এমন বা জীবিকা, লিভিং
local, Adjective | Noun, স্থানীয়, লোকাল
lock, Noun | Action Verb, তালা বা আটকানো, লক
long, Adjective | Adverb | Action Verb, লম্বা বা দীর্ঘ সময়, লং
look, Action Verb | Noun, তাকানো বা চেহারা, লুক
looking, Action Verb (Present Participle), তাকাচ্ছে এমন, লুকিং
looks, Action Verb (Third Person), তাকায় বা দেখা যায়, লুকস
loose, Adjective, ঢিলেঢালা, লুস
lose, Action Verb, হারানো, লুজ
losing, Action Verb (Present Participle), হারাচ্ছে এমন, লুজিং
lost, Action Verb (Past) | Adjective, হারিয়েছিল বা হারানো, লস্ট
lot, Noun | Adverb | Pronoun, প্রচুর বা ভাগ্য, লট
loud, Adjective | Adverb, উচ্চস্বরে, লাউড
loudly, Adverb, উচ্চস্বরে, লাউডলি
love, Action Verb | Noun, ভালোবাসা, লাভ
lovely, Adjective, চমৎকার বা সুন্দর, লাভলি
loving, Adjective | Action Verb (Present Participle), স্নেহময় বা ভালোবাসছে এমন, লাভিং
low, Adjective | Adverb, নিচু, লো
luck, Noun, ভাগ্য, লাক
lunch, Noun, দুপুরের খাবার, লাঞ্চ
machine, Noun, যন্ত্র, মেশিন
made, Action Verb (Past) | Adjective, তৈরি করেছিল বা তৈরি, মেইড
main, Adjective, প্রধান, মেইন
make, Action Verb | Noun, তৈরি করা, মেইক
makes, Action Verb (Third Person), তৈরি করে, মেইকস
making, Action Verb (Present Participle), তৈরি করছে এমন, মেইকিং
man, Noun, মানুষ বা পুরুষ, ম্যান
manage, Action Verb, পরিচালনা করা, ম্যানেজ
management, Noun, ব্যবস্থাপনা, ম্যানেজমেন্ট
manager, Noun, ব্যবস্থাপক, ম্যানেজার
mango, Noun, আম, ম্যাঙ্গো
mangoes, Noun (Plural), আমগুলো, ম্যাঙ্গোজ
many, Adjective | Pronoun, অনেক, মেনি
map, Noun, মানচিত্র, ম্যাপ
march, Noun | Action Verb, মার্চ মাস বা পদযাত্রা, মার্চ
market, Noun, বাজার, মার্কেট
marry, Action Verb, বিয়ে করা, ম্যারি
match, Noun | Action Verb, মিল বা দিয়াশলাই, ম্যাচ
matter, Noun | Action Verb, বিষয় বা গুরুত্ব থাকা, ম্যাটার
may, Helping Verb | Noun, পারা বা মে মাস, মে
me, Pronoun, আমাকে, মি
meal, Noun, খাবার, মিল
mean, Action Verb | Adjective, অর্থ বোঝানো বা নীচ, মিন
meaning, Noun | Action Verb (Present Participle), অর্থ, মিনিং
means, Noun | Action Verb (Third Person), উপায় বা বোঝায়, মিনস
meant, Action Verb (Past), বুঝিয়েছিল, মেন্ট
meat, Noun, মাংস, মিট
medicine, Noun, ঔষধ, মেডিসিন
medicines, Noun (Plural), ঔষধপত্র, মেডিসিনস
meet, Action Verb | Noun, দেখা করা, মিট
meeting, Noun | Action Verb (Present Participle), সভা বা দেখা করছে এমন, মিটিং
men, Noun (Plural of man), পুরুষেরা, মেন
message, Noun, বার্তা, মেসেজ
met, Action Verb (Past), দেখা করেছিল, মেট
method, Noun, পদ্ধতি, মেথড
middle, Noun | Adjective, মধ্যবর্তী, মিডল
might, Helping Verb | Noun, হতে পারে বা শক্তি, মাইট
milk, Noun | Action Verb, দুধ, মিল্ক
million, Number, দশ লক্ষ বা মিলিয়ন, মিলিয়ন
mind, Noun | Action Verb, মন বা মনে করা, মাইন্ড
mine, Pronoun | Noun, আমার বা খনি, মাইন
minimalist, Adjective, ন্যূনতমবাদী বা ছিমছাম, মিনিমালিস্ট
minute, Noun | Adjective, মিনিট বা অতি ক্ষুদ্র, মিনিট
miss, Action Verb | Noun, মিস করা বা কুমারী, মিস
missing, Adjective | Action Verb (Present Participle), নিখোঁজ, মিসিং
mistake, Noun | Action Verb, ভুল, মিসটেক
mobile, Adjective | Noun, মোবাইল বা ভ্রাম্যমাণ, মোবাইল
moment, Noun, মুহূর্ত, মোমেন্ট
monday, Noun, সোমবার, মানডে
money, Noun, টাকা, মানি
monkey, Noun, বানর, মাঙ্কি
month, Noun, মাস, মান্থ
months, Noun (Plural), মাসগুলো, মান্থস
moon, Noun, চাঁদ, মুন
more, Adjective | Adverb | Pronoun, আরও বা অধিক, মোর
morning, Noun, সকাল, মর্নিং
most, Adjective | Adverb | Pronoun, অধিকাংশ বা সবচেয়ে বেশি, মোস্ট
mostly, Adverb, প্রধানত, মোস্টলি
mother, Noun, মা, মাদার
mountain, Noun, পর্বত, মাউন্টেন
mouth, Noun, মুখ, মাউথ
move, Action Verb | Noun, নড়াচড়া করা, মুভ
moving, Action Verb (Present Participle) | Adjective, নড়ছে এমন, মুভিং
much, Adjective | Adverb | Pronoun, অনেক, মাচ
museum, Noun, জাদুঘর, মিউজিয়াম
music, Noun, সঙ্গীত, মিউজিক
must, Helping Verb | Noun, অবশ্যই, মাস্ট
my, Determiner, আমার, মাই
myself, Pronoun, আমি নিজে, মাইসেলফ
name, Noun | Action Verb, নাম, নেইম
narrow, Adjective | Action Verb, সংকীর্ণ বা সরু, ন্যারো
national, Adjective, জাতীয়, ন্যাশনাল
nature, Noun, প্রকৃতি, নেচার
near, Preposition | Adverb | Adjective, কাছে, নিয়ার
nearly, Adverb, প্রায়, নিয়ারলি
necessary, Adjective, প্রয়োজনীয়, নেসেসারি
neck, Noun, ঘাড় বা গলা, নেক
need, Action Verb | Noun, প্রয়োজন, নিড
needed, Action Verb (Past) | Adjective, প্রয়োজন ছিল এমন, নিডেড
needs, Action Verb (Third Person) | Noun (Plural), প্রয়োজন বা দরকারগুলো, নিডস
neighbor, Noun, প্রতিবেশী, নেইবার
neither, Determiner | Pronoun | Conjunction, দুটির কোনটিই নয়, নাইদার
never, Adverb, কখনো না, নেভার
new, Adjective, নতুন, নিউ
news, Noun, খবর, নিউজ
newspaper, Noun, সংবাদপত্র, নিউজপেপার
next, Adjective | Adverb, পরবর্তী, নেক্সট
nice, Adjective, সুন্দর বা চমৎকার, নাইস
nicely, Adverb, সুন্দরভাবে, নাইসলি
night, Noun, রাত, নাইট
nine, Number, নয়, নাইন
no, Adverb | Determiner, না, নো
nobody, Pronoun, কেউ না, নোবডি
noise, Noun, গোলমাল বা শব্দ, নয়েজ
none, Pronoun | Adverb, কেউ না বা কিছুই না, নান
noon, Noun, দুপুর, নুন
nor, Conjunction, অথবা না, নর
nose, Noun, নাক, নোজ
not, Adverb, না, নট
note, Noun | Action Verb, নোট বা লক্ষ্য করা, নোট
nothing, Pronoun, কিছুই না, নাথিং
notice, Noun | Action Verb, লক্ষ্য করা বা নোটিশ, নোটিশ
noticing, Action Verb (Present Participle), লক্ষ্য করছে এমন, নোটিসিং
novel, Noun | Adjective, উপন্যাস বা নতুন ধরনের, নভেল
now, Adverb, এখন, নাও
number, Noun | Action Verb, সংখ্যা, নাম্বার
numbers, Noun (Plural), সংখ্যাগুলো, নাম্বারস
obvious, Adjective, স্পষ্ট বা প্রতীয়মান, অবভিয়াস
obviously, Adverb, স্পষ্টতই, অবভিয়াসলি
occasion, Noun, উপলক্ষে বা বিশেষ সময়, অকেশান
o'clock, Adverb, ঘড়ির কাঁটায়, ও'ক্লক
october, Noun, অক্টোবর, অক্টোবর
of, Preposition, এর, অফ
off, Adverb | Preposition, বন্ধ বা দূরে, অফ
office, Noun, অফিস বা কার্যালয়, অফিস
officer, Noun, অফিসার বা কর্মকর্তা, অফিসার
often, Adverb, প্রায়ই, অফেন
oh, Interjection, ওহ, ওহ
oil, Noun | Action Verb, তেল, অয়েল
ok, Adjective | Adverb | Interjection, ঠিক আছে, ওকে
okay, Adjective | Adverb | Interjection, ঠিক আছে, ওকে
old, Adjective, পুরনো বা বৃদ্ধ, ওল্ড
on, Preposition | Adverb, উপরে বা চালু, অন
once, Adverb | Conjunction, একবার, ওয়ান্স
one, Number | Pronoun, এক, ওয়ান
ones, Pronoun (Plural), গুলো, ওয়ানস
online, Adjective | Adverb, অনলাইন বা ইন্টারনেটে যুক্ত, অনলাইন
only, Adjective | Adverb, শুধু বা একমাত্র, অনলি
open, Action Verb | Adjective, খোলা, ওপেন
opened, Action Verb (Past) | Adjective, খোলা হয়েছিল এমন, ওপেন্ড
opening, Noun | Action Verb (Present Participle), উদ্বোধন বা খুলছে এমন, ওপেনিং
opens, Action Verb (Third Person), খোলে, ওপেনস
option, Noun, বিকল্প বা পছন্দ, অপশন
or, Conjunction, অথবা, অর
orange, Noun | Adjective, কমলালেবু বা কমলা রঙ, অরেঞ্জ
order, Noun | Action Verb, আদেশ বা ক্রম, অর্ডার
ordered, Action Verb (Past), আদেশ দিয়েছিল, অর্ডারড
orders, Noun (Plural) | Action Verb (Third Person), আদেশগুলো, অর্ডারস
other, Adjective | Pronoun, অন্য, আদার
others, Pronoun (Plural), অন্যান্যরা, আদারস
ought, Helping Verb, উচিত, অট
our, Determiner, আমাদের, আওয়ার
ours, Pronoun, আমাদের, আওয়ারস
ourselves, Pronoun, আমরা নিজেরা, আওয়ারসেলভস
out, Adverb | Preposition, বাইরে, আউট
outside, Preposition | Adverb | Noun, বাইরে, আউটসাইড
over, Preposition | Adverb, উপরে বা সমাপ্ত, ওভার
own, Adjective | Action Verb, নিজস্ব বা মালিক হওয়া, ওন
owner, Noun, মালিক, ওনার
pack, Action Verb | Noun, প্যাক করা বা পুটলি, প্যাক
package, Noun | Action Verb, প্যাকেট বা মোড়কজাত করা, প্যাকেজ
page, Noun, পৃষ্ঠা, পেইজ
pain, Noun, ব্যথা, পেইন
paint, Noun | Action Verb, রঙ বা রঙ করা, পেইন্ট
painting, Noun | Action Verb (Present Participle), চিত্রকর্ম বা রঙ করছে এমন, পেইন্টিং
pair, Noun, জোড়া, পেয়ার
palace, Noun, প্রাসাদ, প্যালেস
pan, Noun, কড়াই বা পাত্র, প্যান
paper, Noun, কাগজ, পেপার
parade, Noun | Action Verb, কুচকাওয়াজ, প্যারেড
pardon, Noun | Action Verb, ক্ষমা, পারডন
parent, Noun, পিতা বা মাতা, প্যারেন্ট
parents, Noun (Plural), বাবা-মা, প্যারেন্টস
park, Noun | Action Verb, উদ্যান বা গাড়ি রাখা, পার্ক
part, Noun | Action Verb, অংশ, পার্ট
particular, Adjective, বিশেষ, পার্টিকুলার
particularly, Adverb, বিশেষভাবে, পার্টিকুলারলি
party, Noun, পার্টি বা দল, পার্টি
pass, Action Verb | Noun, অতিক্রম করা বা পাস, পাস
passed, Action Verb (Past), অতিক্রম করেছিল, পাসড
past, Adjective | Noun | Preposition, অতীত, পাস্ট
path, Noun, পথ, পাথ
patient, Noun | Adjective, রোগী বা ধৈর্যশীল, পেশেন্ট
pay, Action Verb | Noun, পরিশোধ করা বা বেতন, পে
paying, Action Verb (Present Participle), পরিশোধ করছে এমন, পেয়িং
payment, Noun, পরিশোধ বা পেমেন্ট, পেমেন্ট
peace, Noun, শান্তি, পিস
pen, Noun, কলম, পেন
pencil, Noun, পেন্সিল, পেন্সিল
people, Noun, জনগণ, পিপল
per, Preposition, প্রতি, পার
perfect, Adjective | Action Verb, নিখুঁত, পারফেক্ট
perfectly, Adverb, নিখুঁতভাবে, পারফেক্টলি
perform, Action Verb, সম্পাদন করা বা অভিনয় করা, পারফর্ম
performance, Noun, পারফরম্যান্স বা দক্ষতা, পারফরম্যান্স
perhaps, Adverb, সম্ভবত, পারহ্যাপস
person, Noun, ব্যক্তি, পারসন
personal, Adjective, ব্যক্তিগত, পার্সোনাল
phone, Noun | Action Verb, ফোন, ফোন
photo, Noun, ছবি বা ফটো, ফটো
photograph, Noun | Action Verb, স্থিরচিত্র, ফটোগ্রাফ
phrase, Noun | Action Verb, শব্দগুচ্ছ, ফ্রেজ
pick, Action Verb | Noun, তোলা বা পছন্দ করা, পিক
picking, Action Verb (Present Participle), তুলছে এমন, পিকিং
picnic, Noun, বনভোজন, পিকনিক
picture, Noun | Action Verb, ছবি, পিকচার
piece, Noun, টুকরো, পিস
pieces, Noun (Plural), টুকরোগুলো, পিসেস
pilot, Noun | Action Verb, বিমান চালক, পাইলট
pink, Adjective | Noun, গোলাপি, পিঙ্ক
place, Noun | Action Verb, স্থান বা রাখা, প্লেইস
plan, Noun | Action Verb, পরিকল্পনা, প্ল্যান
plane, Noun, বিমান, প্লেইন
planning, Noun | Action Verb (Present Participle), পরিকল্পনা করছে এমন, প্ল্যানিং
plant, Noun | Action Verb, চারাগাছ বা রোপণ করা, প্ল্যান্ট
plate, Noun, থালা, প্লেইট
play, Action Verb | Noun, খেলা বা নাটক, প্লে
played, Action Verb (Past), খেলেছিল, প্লেড
player, Noun, খেলোয়াড়, প্লেয়ার
playing, Action Verb (Present Participle), খেলছে এমন, প্লেয়িং
plays, Action Verb (Third Person) | Noun (Plural), খেলে বা নাটকগুলো, প্লেস
please, Adverb | Action Verb, দয়া করে বা সন্তুষ্ট করা, প্লিজ
pleased, Adjective | Action Verb (Past), সন্তুষ্ট, প্লিজড
pleasure, Noun, আনন্দ, প্লেজার
plus, Preposition | Adjective | Noun, যোগ বা ধনাত্মক, প্লাস
p.m., Adverb, অপরাহ্ন, পিএম
pocket, Noun, পকেট, পকেট
poem, Noun, কবিতা, পোয়েম
point, Noun | Action Verb, বিন্দু বা নির্দেশ করা, পয়েন্ট
police, Noun, পুলিশ, পুলিশ
polite, Adjective, নম্র, পোলাইট
politely, Adverb, নম্রভাবে, পোলাইটলি
political, Adjective, রাজনৈতিক, পলিটিক্যাল
politics, Noun, রাজনীতি, পলিটিক্স
pollution, Noun, দূষণ, পলিউশন
pool, Noun, পুকুর বা পুল, পুল
poor, Adjective, গরিব, পুওর
popular, Adjective, জনপ্রিয়, পপুলার
population, Noun, জনসংখ্যা, পপুলেশন
position, Noun | Action Verb, অবস্থান, পজিশন
possible, Adjective, সম্ভব, পসিবল
possibly, Adverb, সম্ভবত, পসিবলি
post, Noun | Action Verb, ডাক বা পোস্ট করা, পোস্ট
pot, Noun, পাত্র, পট
potato, Noun, আলু, পটেটো
potatoes, Noun (Plural), আলুগুলো, পটেটোজ
power, Noun | Action Verb, ক্ষমতা বা শক্তি, পাওয়ার
practice, Noun | Action Verb, অনুশীলন, প্র্যাকটিস
practicing, Action Verb (Present Participle), অনুশীলন করছে এমন, প্র্যাকটিসিং
praise, Action Verb | Noun, প্রশংসা করা, প্রেইজ
pray, Action Verb, প্রার্থনা করা, প্রে
predict, Action Verb, ভবিষ্যৎবাণী করা, প্রেডিক্ট
prefer, Action Verb, অধিক পছন্দ করা, প্রিফার
prepare, Action Verb, প্রস্তুতি নেওয়া, প্রিপেয়ার
prepared, Action Verb (Past) | Adjective, প্রস্তুত, প্রিপেয়ার্ড
preparing, Action Verb (Present Participle), প্রস্তুত করছে এমন, প্রিপেয়ারিং
presence, Noun, উপস্থিতি, প্রেজেন্স
present, Adjective | Noun | Action Verb, বর্তমান বা উপহার, প্রেজেন্ট
president, Noun, রাষ্ট্রপতি বা সভাপতি, প্রেসিডেন্ট
press, Action Verb | Noun, চাপ দেওয়া বা সংবাদ মাধ্যম, প্রেস
pretty, Adjective | Adverb, সুন্দর বা বেশ, প্রিটি
price, Noun | Action Verb, দাম, প্রাইস
primary, Adjective, প্রাথমিক, প্রাইমারি
prince, Noun, রাজকুমার, প্রিন্স
princess, Noun, রাজকুমারী, প্রিন্সেস
principal, Noun | Adjective, অধ্যক্ষ বা প্রধান, প্রিন্সিপাল
private, Adjective, ব্যক্তিগত, প্রাইভেট
prize, Noun, পুরস্কার, প্রাইজ
probably, Adverb, সম্ভবত, প্রবাবলি
problem, Noun, সমস্যা, প্রবলেম
process, Noun | Action Verb, প্রক্রিয়া, প্রসেস
produce, Action Verb | Noun, উৎপাদন করা, প্রডিউস
product, Noun, পণ্য, প্রোডাক্ট
professional, Adjective | Noun, পেশাদার, প্রফেশনাল
professor, Noun, অধ্যাপক, প্রফেসর
program, Noun | Action Verb, প্রোগ্রাম বা কার্যক্রম, প্রোগ্রাম
progress, Noun | Action Verb, অগ্রগতি, প্রগ্রেস
project, Noun | Action Verb, প্রকল্প, প্রজেক্ট
promise, Noun | Action Verb, প্রতিশ্রুতি, প্রমিস
pronounce, Action Verb, উচ্চারণ করা, প্রোনাউন্স
pronunciation, Noun, উচ্চারণ, প্রোনাউনসিয়েশন
proper, Adjective, সঠিক, প্রপার
properly, Adverb, সঠিকভাবে, প্রপারলি
protect, Action Verb, রক্ষা করা, প্রোটেক্ট
proud, Adjective, গর্বিত, প্রাউড
prove, Action Verb, প্রমাণ করা, প্রুভ
provide, Action Verb, প্রদান করা, প্রোভাইড
public, Adjective | Noun, সরকারি বা জনসাধারণ, পাবলিক
pull, Action Verb | Noun, টানা, পুল
pulp, Noun | Action Verb, মণ্ড বা শাঁস, পাল্প
punish, Action Verb, শাস্তি দেওয়া, পানিশ
pure, Adjective, বিশুদ্ধ, পিউর
purple, Adjective | Noun, বেগুনি, পার্পল
purpose, Noun, উদ্দেশ্য, পারপাস
push, Action Verb | Noun, ধাক্কা দেওয়া, পুশ
put, Action Verb, রাখা, পুট
putting, Action Verb (Present Participle), রাখছে এমন, পুটিং
quality, Noun, গুণমান, কোয়ালিটি
quarter, Noun, এক-চতুর্থাংশ বা পোয়া, কোয়ার্টার
queen, Noun, রানী, কুইন
question, Noun | Action Verb, প্রশ্ন, কোয়েশ্চন
questions, Noun (Plural) | Action Verb (Third Person), প্রশ্নগুলো, কোয়েশ্চনস
quick, Adjective | Adverb, দ্রুত, কুইক
quickly, Adverb, দ্রুততার সাথে, কুইকলি
